License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-4KAR-SFZL,"Maggie's Farm, LLC","Maggie's Farm, LLC",Grower,KEOTA,Le Flore,11/14/2023
PAAA-NYIN-5SXK,Sunday Extracts LLC,Sunday Extracts,Processor,Guthrie,Logan,9/18/2023
GAAA-JDAB-XTPR,Lucky Dragon Cultivation Inc,Lucky Dragon Cultivation Inc,Grower,BIG CABIN,Rogers,12/18/2023
GAAA-DHCZ-NGBT,Thaisen LLC,Thaisen LLC,Grower,CAMERON,Le Flore,7/18/2023
GAAA-4J5B-PFVB,"John Creek Farms, LLC","John Creek Farms, LLC",Grower,Okarche,Kingfisher,1/1/2024
PAAA-TZMK-ZU3X,Sugarhigh LLC,Sugarhigh LLC,Processor,Oklahoma City,Oklahoma,3/13/2024
GAAA-VYVE-ARF0,Sooner Roots llc,Sooner Roots,Grower,OKLAHOMA CITY,Cleveland,9/29/2023
DAAA-V13L-QBKL,Fume Ventures Inc.,Eden Cannabis Co. II,Dispensary,TULSA,Tulsa,12/13/2023
GAAA-C3F7-US7A,Diamond Leaves LLC,Diamond Leaves,Grower,MUSKOGEE,Muskogee,12/18/2023
GAAA-FQDN-F7MW,Harpy Farms LLC,Harpy Farms,Grower,LOCUST GROVE,Mayes,10/10/2023
PAAA-NYZC-32JQ,JandA Supply Company LLC,Buffalo Head Cannabis,Processor,Caddo,Bryan,3/27/2024
PAAA-NKRK-STMO,Loud City Extracts LLC,Loud City Extracts LLC,Processor,Edmond,Oklahoma,1/13/2024
PAAA-GLCQ-HEWD,Intercoastal River Holdings LLC,Intercoastal River Holdings LLC,Processor,BLANCHARD,Grady,4/17/2023
GAAA-EYIQ-0UN1,Taylor Agriculture Growth and Extractions Inc,Taylor Agriculture Growth and Extractions,Grower,DUNCAN,Stephens,7/4/2023
GAAA-YFWA-DWH9,Arnold's Land LLC,Arnold's Land,Grower,SPIRO,Le Flore,12/4/2023
GAAA-41HZ-NVDQ,Topnotch Herbal Care LLC,Topnotch Herbal Care,Grower,TULSA,Tulsa,2/22/2023
GAAA-UQTU-0RQD,Natural Wonders Farm LLC,Natural Wonders Farm,Grower,MIAMI,Ottawa,10/30/2022
GAAA-3XAH-4V5X,"HOD, LLC",HOD LLC,Grower,GERONIMO,Comanche,10/26/2023
GAAA-DRB5-32FN,Danh L.L.C,Danh L.L.C,Grower,JENKS,Tulsa,10/11/2023
GAAA-4JSF-GXFP,"Cloud 9 Organics, LLC","Cloud 9 Organics, LLC",Grower,NORMAN,Cleveland,10/18/2023
GAAA-4GRK-2M0U,ML Growing LLC,ML Growing LLC,Grower,LAHOMA,Garfield,2/1/2024
GAAA-A21I-4YTS,genetics paradise llc,Genetics Paradise,Grower,DURANT,Bryan,12/26/2023
PAAA-HPN3-KVF1,"Loveco Farms, Inc.",Loveco Processing,Processor,MARIETTA,Love,12/6/2023
GAAA-VJ6I-KIXW,Iceberg Farm LLC,Iceberg Farm LLC,Grower,NEWKIRK,Kay,9/22/2023
DAAA-QPR8-RHZM,Weed-Mart LLC.,Weedmart Tenkiller State Park,Dispensary,VIAN,Sequoyah,9/15/2023
GAAA-N1VR-QYWD,Custom Cannabis LLC,Custom Cannabis LLC,Grower,OKMULGEE,Okmulgee,2/17/2024
GAAA-LQXK-CU8X,"C&P Land and Cattle, LLC","C&P Land and Cattle, LLC",Grower,Hinton,Canadian,4/18/2023
DAAA-4YMD-88OG,Roland Natural Health LLC,Roland Natural Health,Dispensary,ROLAND,Sequoyah,12/10/2023
GAAA-EJWE-40IN,Third State LLC,Third State LLC,Grower,OKLAHOMA CITY,Oklahoma,12/8/2023
GAAA-Q7MF-2ZGO,"N2N Group Holdings, LLC","N2N Group Holdings, LLC",Grower,WESTVILLE,Adair,12/14/2023
GAAA-N11P-GLSE,American Remedy Hemp Company,TurtleLeaf Co,Grower,RINGLING,Jefferson,4/11/2023
GAAA-5CUQ-9JZN,"Vue Grow Farm, LLC","Vue Grow Farm, LLC",Grower,SPIRO,Le Flore,10/27/2023
GAAA-VJFZ-L7HQ,Roger Kent Thompson,BloomCraft Gardens,Grower,South Coffeyville,Nowata,2/1/2024
GAAA-RWNM-3SUP,Spring Fed Farms LLC,Spring Fed Farms,Grower,Thackerville,Love,12/4/2023
GAAA-PAV8-9X0G,NBN Garden LLC,NBN Garden LLC,Grower,Seiling,Dewey,7/18/2023
GAAA-8MXN-ZWLN,Jinshan LLC,Jinshan LLC,Grower,AGRA,Lincoln,10/25/2023
GAAA-GAD0-Y1EV,TQ Crops LLC,TQ Crops LLC,Grower,HARRAH,Oklahoma,11/3/2023
GAAA-9ZAP-PGQC,Stash Holdings LLC,Stash Holdings LLC,Grower,Waurwika,Jefferson,12/9/2023
GAAA-VJMH-WGZU,Lycan Products Inc.,Lycan Products Inc.,Grower,Broken Arrow,Wagoner,4/11/2024
GAAA-UV2G-UVS2,"BASMITH and MOPLUM, LLC.","BaSmith and MoPlum, LLC.",Grower,OKLAHOMA CITY,Oklahoma,3/29/2024
GAAA-BINY-JC81,Nick Ericson,Nick Ericson,Grower,CORDELL,Washita,11/21/2023
GAAA-VOA9-2HX0,Shunfang OK LLC,Shunfang OK LLC,Grower,ANADARKO,Caddo,12/4/2023
DAAA-4KEV-ASIK,C&C Brothers LLC,Goldleaf Dispensary,Dispensary,WAYNOKA,Woods,3/18/2024
GAAA-DEOR-EVO4,"Cannova, LLC","Cannova, LLC",Grower,OKEMAH,Okfuskee,5/4/2023
GAAA-Z7GG-ABQ4,Exotic City LLC,Exotic City Farms,Grower,MUSKOGEE,Muskogee,11/22/2023
GAAA-6HQ0-EJDA,The Healing Project LLC,The Healing Project LLC,Grower,COYLE,Logan,12/8/2023
GAAA-4JLZ-5GTX,Urthmeds LLC,Urthmeds LLC,Grower,Wilson,Love,11/14/2023
DAAA-EKJP-D3DH,Green Country Health Initiative LLC,Inhal,Dispensary,TULSA,Tulsa,1/13/2024
GAAA-QEM0-LY5F,"SOUR GELATO, LLC","SOUR GELATO, LLC",Grower,TECUMSEH,Pottawatomie,10/16/2022
GAAA-NJNC-JF21,"THC Syndicate, LLC","THC Syndicate, LLC",Grower,CHANDLER,Lincoln,7/19/2023
GAAA-H6FZ-OFC1,"BMM CONSULTING, LLC","BMM CONSULTING, LLC",Grower,STILWELL,Adair,8/29/2023
GAAA-KWRA-YXEQ,"Chao Fattoria, Inc","Chao Fattoria, Inc",Grower,Jennings,Pawnee,3/7/2023
GAAA-EYHP-HC8Q,Gemstone Gardens LLC,Gemstone Gardens,Grower,HULBERT,Cherokee,9/29/2023
GAAA-EYWA-ZABN,Harper Creek Farms LLC,Harper Creek Farms,Grower,PAWNEE,Pawnee,3/7/2024
DAAA-3BW6-BRGH,Exotic City LLC,Exotic City Dispensary,Dispensary,MUSKOGEE,Muskogee,11/22/2023
GAAA-NB0J-LAV3,BOLAND FARMS LLC,BOLAND FARMS LLC,Grower,THACKERVILLE,Love,7/18/2023
GAAA-ILFB-4YWG,TPC Farm,TPC Farm,Grower,MCCURTAIN,Haskell,3/24/2023
GAAA-PP7Z-PB3M,"Steely Hollow Cannabis, LLC","Steely Hollow Cannabis, LLC",Grower,TAHLEQUAH,Cherokee,10/20/2022
GAAA-VXR5-AE9Z,Green Stone Remedy Farm LLC,"Green Stone Remedy Farm, LLC",Grower,JAY,Delaware,1/14/2024
GAAA-WHUZ-XDSI,"LC Strands, LLC","LC Strands, LLC",Grower,Weleetka,Okfuskee,12/12/2023
PAAA-OKQO-K9QF,Melania 0224 LLC,Melania 0224 LLC,Processor,OKLAHOMA CITY,Oklahoma,8/2/2023
GAAA-HKIP-BVUP,"MVP FARMS, LLC","MVP FARMS, LLC",Grower,Jay,Delaware,12/18/2023
PAAA-BKKZ-8N3O,"Blue Lake Laboratories, LLC","Blue Lake Laboratories, LLC",Processor,THACKERVILLE,Love,12/25/2023
DAAA-EJ00-QLFB,The Good Company Processing LLC,Evolve by Evok,Dispensary,OKLAHOMA CITY,Oklahoma,12/21/2023
GAAA-4JIE-S7BI,GTO Producing LLC,GTO Producing LLC,Grower,OKLAHOMA CITY,Oklahoma,1/3/2024
GAAA-ZBJH-HRFT,"2 High Genetics, LLC","2 High Genetics, LLC",Grower,Goodwell,Texas,3/22/2024
GAAA-PMSN-FKJN,Ba Trung Green LLC,Ba Trung Green LLC,Grower,Oklahoma City,Oklahoma,9/18/2022
GAAA-N1IT-JUQL,First Harvest LLC,First Harvest LLC,Grower,OKLAHOMA CITY,Oklahoma,1/10/2024
GAAA-VJZL-QFOV,Michael William Redus,Rocking R Cannabis,Grower,WAYNE,McClain,2/28/2024
GAAA-7KAB-BASH,Pa 168 Greenhouse Inc,Pa 168 Greenhouse Inc,Grower,EDMOND,Logan,11/7/2022
PAAA-VJQO-9LDR,"Creekside Extractions, LLC","Creekside Extractions, LLC",Processor,Okarche,Kingfisher,12/19/2023
TAAA-NNQI-NETG,Legacy Grow Transport LLC,Legacy Grow Transport LLC,Transporter,YUKON,Canadian,7/11/2023
GAAA-SHMD-UBMV,Shadowgreen Farms,Shadowgreen Farms,Grower,COLCORD,Delaware,6/27/2023
PAAA-E1QM-TVYZ,"Deer Run Holdings, LLC",Hash House,Processor,DURANT,Bryan,10/9/2022
GAAA-OBM1-EX7C,WILLIAM MACLEAN - SOLE PROPRIETOR,WILLIAM MACLEAN - SOLE PROPRIETOR,Grower,Macalester,Pittsburg,7/26/2023
GAAA-FXKA-5UX0,NorthStar Blue Sky LLC,NorthStar Blue Sky LLC,Grower,Lexington,Cleveland,8/23/2023
GAAA-UI1G-7SBH,"Heavyhitter Camp, LLC","Heavyhitter Camp, LLC",Grower,CHOUTEAU,Mayes,2/1/2024
GAAA-OZIE-KLO4,"HUANG ZWEWEI 5858, LLC","HUANG ZWEWEI 5858, LLC",Grower,Wynnewood,Garvin,2/10/2024
GAAA-TFVC-P01K,"BY Grow, LLC","BY Grow, LLC",Grower,WETUMKA,Okfuskee,12/27/2023
GAAA-IPTV-MBBW,"Blue House Flowers, LLC",Blue House Flower Farm,Grower,Wanette,Pottawatomie,6/27/2023
GAAA-OVYZ-I9Z9,"Maneki-Neko Farm, Inc","Maneki-Neko Farm, Inc",Grower,BRISTOW,Creek,3/28/2024
GAAA-EURE-YBLZ,Dankman LLC,Dankman,Grower,WELLSTON,Lincoln,11/22/2023
GAAA-NYNP-QHDA,Verdant Holdings Inc.,Verdant Alternatives,Grower,MINCO,Caddo,5/5/2022
GAAA-N1T2-W6II,"Green Hill Farms, LLC",Green Hill Farms,Grower,LAWTON,Comanche,11/6/2022
GAAA-FFJQ-M9DR,1111 Lakeview Ventures LLC,1111 Ventures,Grower,WOODWARD,Woodward,7/4/2023
GAAA-NKBY-GKOL,Debra Klaus,Superman Weed,Grower,COPAN,Washington,3/13/2024
GAAA-CT04-TND1,Organic Acres LLC,Organic Acres LLC,Grower,PRYOR,Mayes,12/13/2023
GAAA-HJE4-MZLO,"Black Gold Greens, LLC","Black Gold Greens, LLC",Grower,GLENPOOL,Tulsa,1/9/2024
GAAA-ZGVD-QHFC,Blazing Brazil LLC,Blazing Brazil LLC,Grower,SHADY POINT,Le Flore,5/11/2024
GAAA-VYLW-KZ0T,H Brothers Investments LLC,H Brothers Investments LLC,Grower,Oklahoma City,Oklahoma,12/19/2023
GAAA-XDG5-EOAP,Sunshine Unlimited LLC,Sunshine Unlimited LLC,Grower,NORMAN,Cleveland,12/18/2023
GAAA-GMM9-KS5B,"Super Chen Farm, Inc","Super Chen Farm, Inc",Grower,PRAGUE,Pottawatomie,3/20/2024
GAAA-CHMN-RGOV,WENG EVERGREEN LLC,WENG EVERGREEN LLC,Grower,Roff,Pontotoc,11/8/2023
GAAA-NKY6-0GOS,"Grow-Strong OK, LLC","Grow-Strong OK, LLC",Grower,BLANCHARD,McClain,2/22/2024
GAAA-XCOX-C57X,Scientific Farms LLC,Scientific Farms,Grower,GUTHRIE,Logan,8/15/2023
GAAA-N1HX-KV0O,SPENagri Corporation,Grand Wellness Center,Grower,OKLAHOMA CITY,Oklahoma,2/1/2024
GAAA-EFQS-QMRB,XANTHA GROW LLC,XANTHA GROW LLC,Grower,STRATFORD,Pontotoc,10/12/2023
GAAA-U1VF-JRLI,GLLI LLC,GLLI LLC,Grower,CYRIL,Caddo,4/26/2023
GAAA-DHS7-EJKV,Pure Xas LLC,Pure Xas LLC,Grower,HENRYETTA,Okmulgee,3/17/2023
GAAA-5BFG-SYCP,AR BROTHERS ENTREPRENEURS LLC.,AR BROTHERS ENTREPRENEURS LLC.,Grower,WEBBERS FALLS,Muskogee,11/13/2023
GAAA-G3CV-K6EF,"Ogre Village, LLC",Ogre Village,Grower,Watts,Adair,10/6/2023
PAAA-4YD0-6CTM,"Green Rush Processing, LLC",Pharmicated,Processor,Eufaula,Pittsburg,3/15/2024
PAAA-NYHJ-OTBN,"Natural State Processing, Inc.","Natural State Processing, Inc.",Processor,Muse,Le Flore,2/27/2024
GAAA-GXUG-Q1IF,Willow Green LLC,Willow Green,Grower,CORDELL,Kingfisher,12/12/2023
GAAA-SVE6-IJMY,"Bambino Exotics, LLC",Bambino X,Grower,Wyandotte,Ottawa,6/2/2023
GAAA-NY9W-9MV4,Releaf Med Pharms LLC,Releaf Med Pharms LLC,Grower,TALALA,Rogers,4/26/2024
GAAA-OOLM-FPTK,Native Grass Farms LLC,Native Grass Farms LLC,Grower,Moore,Cleveland,9/22/2023
PAAA-ZTNJ-FDOF,"HOD, LLC","HOD, LLC",Processor,GERONIMO,Comanche,7/3/2023
GAAA-LUYS-TDLY,"Ranch Grow 88, Inc","Ranch Grow 88, Inc",Grower,WELLSTON,Lincoln,3/29/2024
DAAA-ZXGU-A95T,"True Bloom Retail, LLC","True Bloom Retail, LLC",Dispensary,Edmond,Logan,10/3/2023
GAAA-QACK-W4J8,"MOUNTAIN HILL FARM, LLC","MOUNTAIN HILL FARM, LLC",Grower,Indianola,Pittsburg,3/7/2024
GAAA-GCJY-LXSR,"Lost Brothers Cannabis, LLC","Lost Brothers Cannabis, LLC",Grower,OKLAHOMA CITY,Oklahoma,11/27/2023
DAAA-468X-GSMA,The Royal Tree LLC,Euphora Modern Wellness,Dispensary,MUSKOGEE,Muskogee,12/12/2023
PAAA-EYAN-P4VF,SAP Xtrax LLC,Loud Promotions LLC and SAP Gardens,Processor,OKLAHOMA CITY,Oklahoma,2/1/2024
GAAA-EJQE-HDJ0,"The Holistic Haze Company, LLC","The Holistic Haze Company, LLC",Grower,BRISTOW,Creek,11/1/2023
GAAA-41KU-3OZN,"Medirec Oklahoma, LLC","Medirec Oklahoma, LLC",Grower,Oklahoma City,Oklahoma,3/20/2023
GAAA-IJFX-ORZK,MIDNIGHT BLOOM LLC,MIDNIGHT BLOOM LLC,Grower,HOLDENVILLE,Seminole,2/1/2024
GAAA-VKAU-IGG1,"405 Cannabis Creations, LLC","405 Cannabis Creations, LLC",Grower,Oklahoma City,Oklahoma,10/25/2023
PAAA-AZBI-OU9S,Eden Cannabis Farms Inc.,Eden Cannabis Farms Inc.,Processor,Crescent,Logan,11/8/2023
GAAA-NKVM-BNGX,"Straight Fire Grow, LLC",Straight Fire Grow,Grower,WILSON,Carter,2/6/2024
GAAA-ZNYR-HEJ0,"Travis Headd's Cannabis, LLC",Travis Headd's Cannabis,Grower,Edmond,Logan,11/13/2023
GAAA-EYB9-BYRZ,GreenHouse Industries LLC,GreenHouse Industries LLC,Grower,WAGONER,Wagoner,10/11/2023
GAAA-KM99-RTN1,Black Rock Capital Group LLC,Black Rock Capital Group LLC,Grower,BLANCHARD,Grady,7/31/2022
GAAA-LUC7-RNQP,"High Society Horticulture, LLC",High Society Horticulture,Grower,LUTHER,Oklahoma,2/1/2024
PAAA-SSOD-RYNF,"AMUN-RA, LLC","AMUN-RA, LLC",Processor,CACHE,Comanche,11/15/2023
GAAA-41H0-MYW7,"Daze Acres, LLC","Daze Acres, LLC",Grower,LOCUST GROVE,Mayes,4/24/2023
GAAA-FSGL-KJMJ,"Sunshine Grows 2, LLC","Sunshine Grows 2, LLC",Grower,Lexington,Cleveland,4/19/2024
GAAA-CECF-BTPV,"ELM CREEK FARM, LLC","ELM CREEK FARM, LLC",Grower,MIAMI,Ottawa,7/25/2023
GAAA-P8G8-IFWY,"FLOWER HILL FARM, LLC",FLOWER HILL CANNABIS,Grower,SPIRO,Le Flore,7/25/2023
PAAA-5WBP-GTYU,Grow Cannabis LLC,Grow Cannabis LLC,Processor,HOMINY,Osage,3/7/2024
GAAA-EJUG-XEKC,"Saffire, LLC",Saffire,Grower,JONES,Oklahoma,10/24/2023
GAAA-NGRM-0QSP,Treasure Bowl LLC,Treasure Bowl LLC,Grower,CASHION,Kingfisher,5/12/2024
GAAA-Q7OP-RJJL,"GT Genetics, LLC","GT Genetics, LLC",Grower,STILWELL,Adair,12/13/2023
GAAA-NJMJ-EJGO,"B&A OKIE FARMS, LLC",Devine Greens,Grower,MEEKER,Lincoln,5/2/2024
GAAA-FYIO-2FCS,LIGHTONE ENERGY LLC,LIGHTONE ENERGY LLC,Grower,WILSON,Carter,10/6/2023
PAAA-PFYW-JBQM,Yura LLC,Salu,Processor,OKLAHOMA CITY,Oklahoma,1/11/2024
GAAA-EYL0-7LHH,Braided Roots Farm LLC,Braided Roots Farm,Grower,Drumright,Creek,11/1/2023
DAAA-LGJZ-S1QZ,Banana River Holdings LLC,Banana River Holdings LLC,Dispensary,Porum,Muskogee,4/4/2023
GAAA-3QY2-L8O6,"Green Moose Farms, LLC","Green Moose Farms, LLC",Grower,NOBLE,Cleveland,12/25/2023
GAAA-EK9T-WU76,"WEEDOLOGY, LLC",BLUE GILL FARMS,Grower,EL RENO,Canadian,3/10/2023
GAAA-NY8M-RO6T,"Pharm Aide Pharms, LLC",Pharm Aide Pharms,Grower,Grant,Choctaw,1/3/2024
GAAA-YZ1W-8TAG,Platinum Villa Inc,Platinum Villa,Grower,GUTHRIE,Logan,11/10/2022
GAAA-VK3O-AHDO,Dunder Mifflin LLC,Enhanced Condition,Grower,Washington,McClain,2/1/2024
PAAA-NJ1M-DPYQ,"C3E Management, LLC",Gold Rush Premium Extracts,Processor,SAPULPA,Creek,5/19/2024
DAAA-HJ5J-I3FS,Route 66 Wonderland LLC,OKIE WONDERLAND SAPULPA,Dispensary,TULSA,Creek,4/24/2024
GAAA-K3YL-GJLX,"Loveco Farms, Inc.","Loveco Farms, Inc.",Grower,MARIETTA,Love,6/27/2023
GAAA-Z4N1-YVMP,purple cannabys connection llc,purple cannabys connection llc,Grower,ADA,Pontotoc,11/17/2023
GAAA-NYWS-MLM1,"Good Karma Company, LLC","Good Karma Company, LLC",Grower,NOBLE,Cleveland,8/25/2023
GAAA-V2JJ-0NTQ,"KQ AG, INC","KQ AG, INC",Grower,WEWOKA,Seminole,10/6/2023
GAAA-VYOX-HKGE,SLM Marketing Services LLC.,The Terp Farmers,Grower,VINITA,Craig,12/12/2023
GAAA-YBW6-PRFC,Grassroots Cultivation and Wellness LLC,Carnival Cannabis Company,Grower,OKLAHOMA CITY,Oklahoma,10/11/2023
GAAA-DQCJ-AJTP,"Crystal Infinity Green, LLC","Crystal Infinity Green, LLC",Grower,Jay,Delaware,3/27/2024
GAAA-OCPV-858F,Kevin's Green LLC,Kevin's Green,Grower,MUSKOGEE,Kingfisher,9/22/2023
GAAA-EK5K-DPCG,Lun Chen Green LLC,Lun Chen Green LLC,Grower,Meeker,Lincoln,6/16/2023
GAAA-SIYS-PGO4,"Ozark Ounces, LLC",Ozark Ounces,Grower,Wyandotte,Ottawa,1/4/2024
GAAA-ASQA-Q6I3,"The Fresh Plus, Inc","The Fresh Plus, Inc",Grower,SEMINOLE,Seminole,4/13/2024
GAAA-VYBZ-MOR8,Honey Jane Farms LLC,Honey Jane,Grower,ARDMORE,Carter,4/19/2024
DAAA-41BA-XX6P,"Green Horizons, LLC",Flight 420,Dispensary,SALLISAW,Sequoyah,3/28/2023
GAAA-8UA5-P6HG,THC 21 LLC,THC 21 LLC,Grower,ROSE,Delaware,5/16/2023
GAAA-Y79Z-VIMQ,"501 Ventures, LLC","501 Ventures, LLC",Grower,WOODWARD,Woodward,9/27/2023
GAAA-KQWT-OIOH,Ganja Fellas LLC,Ganja Fellas LLC,Grower,ELK CITY,Beckham,9/18/2022
GAAA-GFKK-8O8M,"SOVRN, LLC","SOVRN, LLC",Grower,KELLYVILLE,Creek,8/18/2023
GAAA-4YED-B0E6,OKIE HIGHLAND FARMS LLC,OKIE HIGHLAND FARMS LLC,Grower,BARTLESVILLE,Washington,2/24/2024
GAAA-AJJR-WNTM,SCOC LLC,SCOC LLC,Grower,SKIATOOK,Osage,2/22/2023
GAAA-V11F-QQQ9,"Ganja Goat Guru, LLC",Ganja Goat Guru,Grower,BEGGS,Okmulgee,9/29/2023
GAAA-EYM9-OZL2,Honey Buds LLC,Honey Buds LLC,Grower,NOWATA,Nowata,11/13/2023
GAAA-4K04-JCRW,Well Rooted Genetics LLC,Well Rooted,Grower,OKLAHOMA CITY,Oklahoma,1/9/2024
GAAA-58N4-FYO1,JXHY LLC,JXHY LLC,Grower,Duncan,Stephens,3/24/2024
GAAA-F7PR-JTRX,Spring Green LLC,Spring Green LLC,Grower,PAULS VALLEY,Garvin,12/5/2022
GAAA-NKOM-197W,Hartman organic grow LLC,Hartman Organic grow,Grower,ARDMORE,Carter,11/10/2022
GAAA-7GE8-DJI7,Green Compliance LLC,Green Compliance LLC,Grower,NEWALLA,Cleveland,4/17/2024
GAAA-EK9B-VXGN,"H2O Grow, LLC",H2O Grow,Grower,BETHANY,Oklahoma,3/10/2024
DAAA-4JDP-18FU,Steady Eddi LLC,Steady Eddi LLC,Dispensary,OKLAHOMA CITY,Oklahoma,10/10/2023
PAAA-L45K-PPFD,Argent Ventures Inc.,Argent Ventures Inc.,Processor,NOWATA,Nowata,12/11/2023
GAAA-HY5D-C6QR,"KNC Grow,LLC","KNC Grow,LLC",Grower,HENRYETTA,Okmulgee,10/19/2023
GAAA-EKEE-7KYF,Top Tier Farms LLC,Top Tier Farms LLC,Grower,NORMAN,Cleveland,12/12/2023
GAAA-EYOR-MNJ8,"Rollin Okie Farms, LLC","Rollin Okie Farms, LLC",Grower,EDMOND,Oklahoma,11/10/2023
PAAA-EKNR-GYFU,"Easy Street Extracts, LLC",Easy Street Edibles,Processor,OKLAHOMA CITY,Oklahoma,4/18/2024
PAAA-VY6G-F8UE,"Clone to Grown, LLC",Clone To Grown LLC,Processor,Oklahoma City,Oklahoma,11/1/2023
GAAA-E1GD-G2BV,Woodzy Farms LLC,Woodzy Farms LLC,Grower,OKLAHOMA CITY,Oklahoma,12/14/2023
GAAA-MQ4G-KQKU,Stimulus Grower LLC,Stimulus Grower LLC,Grower,VINITA,Craig,6/14/2023
GAAA-NYVK-3TUB,Nature's Fix Growery LLC,NFX Growery,Grower,LOCUST GROVE,Mayes,5/9/2023
GAAA-VKX2-38LG,Punchee Bud LLC,Punchee Bud,Grower,HOWE,Le Flore,3/7/2023
TAAA-DYKS-WLE5,"D-LUXE TRANSPORTATION, LLC","D-LUXE TRANSPORTATION, LLC",Transporter,SAPULPA,Creek,11/21/2023
PAAA-NJEI-QMSY,5 Leaf Lab LLC,5 LEAF LAB,Processor,TULSA,Tulsa,4/6/2024
GAAA-4ZVI-DUYK,Royalty Farms Cannabis Company LLC,Royalty Farms Cannabis Company LLC,Grower,STILLWATER,Payne,4/26/2023
GAAA-LGWP-HHJT,"Wizards Herb, LLC",Wizards Herb,Grower,TULSA,Tulsa,3/24/2024
DAAA-IMQ4-4IOC,"Abide Cannabis Company, LLC",Abide Cannabis Company,Dispensary,EDMOND,Oklahoma,5/30/2023
GAAA-L4S2-EKS7,"R.O.W. Farms, LLC","R.O.W. Farms, LLC",Grower,EDMOND,Logan,2/17/2024
PAAA-R1IJ-I5PR,Sunnyslope Grow LLC,Sunnyslope Grow LLC,Processor,FAIRFAX,Osage,12/7/2023
GAAA-3GXX-MXW8,"Fancy Emerald, LLC","Fancy Emerald, LLC",Grower,NORMAN,Cleveland,12/15/2023
GAAA-4YYB-ZLKE,Green Thumb Pharms LLC,Green Thumb Pharms,Grower,COLLINSVILLE,Washington,11/22/2023
DAAA-4YJA-IKLV,"TGIC Oklahoma, LLC","TGIC Oklahoma, LLC",Dispensary,BLANCHARD,Grady,11/6/2022
GAAA-FMQR-U9BI,Infinity Clone LLC,Infinity Clone LLC,Grower,PAULS VALLEY,Garvin,3/29/2023
GAAA-DJVM-P67K,global natural llc,global natural llc,Grower,NOBLE,Cleveland,2/8/2024
PAAA-F4BU-Q60A,NT Silver LLC,NT Silver LLC,Processor,ELMORE CITY,Garvin,12/5/2022
GAAA-VYT0-L0I9,Blow It out Industries LLC,"Blow It out Industries, LLC",Grower,MCALESTER,Pittsburg,11/13/2023
GAAA-VKEP-7IZD,old grove llc,old grove llc,Grower,MARIETTA,Love,4/19/2024
GAAA-NJHM-SGKB,The Good Company Processing LLC,Evolve by Evok,Grower,OKLAHOMA CITY,Oklahoma,4/24/2024
GAAA-EGRK-PSCF,"KCTY Grow, LLC","KCTY Grow, LLC",Grower,JENNINGS,Creek,7/31/2023
GAAA-GCXW-GZVP,HuaHua LLC,Huahua LLC,Grower,ADAIR,Mayes,12/20/2023
GAAA-5O4B-4IUC,Alpha Garden LLC,Alpha Garden LLC,Grower,WELEETKA,Okfuskee,12/13/2022
GAAA-HPW7-1PFM,"Target Farms, llc","Target Farms, LLC",Grower,LEEDEY,Roger Mills,10/11/2023
GAAA-NKRI-XKPH,Maierjuana LLC,Maierjuana LLC,Grower,Hanna,McIntosh,2/1/2024
GAAA-RWVF-NRML,"Resurrected Green Labs, LLC","Resurrected Green Labs, LLC",Grower,BYARS,McClain,2/1/2024
GAAA-D6TC-3YNH,"Hangar Creek Ranch, Inc.",Hangar Creek Ranch,Grower,BENNINGTON,Bryan,2/1/2024
GAAA-8CPG-ZW8Y,THT2Gether LLC,THT2Gether LLC,Grower,Talihina,Pushmataha,3/6/2024
GAAA-SWXU-TG0R,"Hobgoods Hogs, LLC",Hobgoods Hogs,Grower,ANADARKO,Caddo,6/29/2023
GAAA-NYLF-IB5R,Zachary Scott Stoller,MCDABBIN's,Grower,MADILL,Marshall,11/7/2023
GAAA-EKTG-BKKU,"H.T. Garden, Inc","H.T. Garden, Inc",Grower,ADA,Pontotoc,5/9/2024
GAAA-TFVX-XHN4,Urban Farmer Genetics LLC,Urban Farmer Genetics,Grower,Ardmore,Carter,9/27/2023
DAAA-IFVZ-EDAH,Bully Dreamz LLC,Bully Dreamz Dispensary,Dispensary,CORDELL,Washita,3/6/2024
GAAA-EY1S-BKEJ,Loud City Cannabis Company LLC,Loud City,Grower,Oklahoma City,Oklahoma,10/24/2023
GAAA-GLDL-T7JP,TC Highlife LLC,TC Highlife LLC,Grower,HODGEN,Le Flore,1/9/2024
GAAA-CMSW-GGKM,Nature's Paradise LLC,Nature's Paradise LLC,Grower,Talala,Washington,11/28/2023
DAAA-NJLO-TSGI,Happy High Life Inc.,Happy High Life Inc.,Dispensary,SPAVINAW,Mayes,5/22/2023
PAAA-EYMT-VVWR,"Prime Processing, LLC",The Haze Factory,Processor,DURANT,Bryan,11/10/2023
GAAA-4JJA-BU8S,Chue Moua,Boncha Farm #2,Grower,Watts,Adair,11/24/2023
DAAA-V1LJ-W4TL,RS.RV Enterprises LLC,Big A Buds Dispensary #4,Dispensary,MIDWEST CITY,Oklahoma,9/20/2022
GAAA-41CI-SHXF,NOTH Ventures LLC,High Plains Grow House,Grower,Hooker,Oklahoma,11/8/2023
GAAA-41KK-OFOZ,Cannon Cush LLC,Cannon Cush LLC,Grower,ATOKA,Atoka,4/3/2023
