License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-M2TA-BGGC,Orrick Natural Solutions LLC,Orrick Natural Solutions LLC,Grower,HENDRIX,Bryan,10/20/2023
GAAA-YG1R-GNTP,4K GARDEN LLC,4K GARDEN LLC,Grower,GLENPOOL,Tulsa,11/24/2023
DAAA-E1SV-YCWS,YouTokem LLC,Utokem,Dispensary,CLAREMORE,Rogers,5/17/2024
DAAA-VJF5-HGJJ,BUILDABRICK LLC,Candee,Dispensary,TULSA,Tulsa,9/25/2023
DAAA-EKAL-TBZA,Green Medical Patients LLC,Greendoctor 420,Dispensary,EDMOND,Oklahoma,10/17/2023
GAAA-QTZH-WDJV,FHTD LLC,FHTD LLC,Grower,WETUMKA,Hughes,2/1/2024
DAAA-EJHE-KGJE,miTs Farmacy,miTs Farmacy,Dispensary,MIAMI,Ottawa,4/6/2024
DAAA-N177-QRBO,"The Heal 365, LLC","The Heal 365, LLC",Dispensary,OKLAHOMA CITY,Oklahoma,3/13/2023
DAAA-NKYE-LSQ7,Jimmy W. Risman,MEDUSA,Dispensary,VINITA,Craig,9/27/2023
DAAA-MOPH-ZNJ2,A-Z Dispensary,A-Z Dispensary,Dispensary,TULSA,Tulsa,3/20/2024
DAAA-T4IA-0744,"Marble City Meds, LLC",Marble City Meds,Dispensary,Marble City,Sequoyah,11/14/2023
DAAA-TIM3-MFZO,Push Cannabis LLC,Push Cannabis LLC,Dispensary,TULSA,Tulsa,2/1/2024
GAAA-1EJY-ZAZS,Top Hill LLC,Top Hill LLC,Grower,Porum,McIntosh,7/28/2023
GAAA-SMNP-JJCM,"Vang 420 Farm, LLC","Vang 420 Farm, LLC",Grower,stuart,Hughes,12/8/2022
DAAA-IQJW-SC3Z,EVERMORE CANNABIS DISPENSARY LLC,EVERMORE CANNABIS DISPENSARY,Dispensary,OKMULGEE,Okmulgee,11/10/2023
DAAA-VYFH-BJHP,Altcare 7 LLC,Fire Leaf 7,Dispensary,OKLAHOMA CITY,Oklahoma,9/22/2023
GAAA-VJ7G-TCLU,Lee Mountain Yem LLC,Lee Mountain Yem LLC,Grower,ROSE,Mayes,1/10/2024
PAAA-NJHJ-5CJD,"Rising Altitude Supply, LLC",Craft Cannabis Extracts,Processor,Oklahoma City,Oklahoma,5/2/2024
GAAA-VTHV-PSYX,Mt. Cannabis,Mt Cannabis,Grower,ROSE,Delaware,12/10/2022
GAAA-EVBV-ZAIM,"Sol Terra, L.L.C.",Sol Terra farms,Grower,BLANCHARD,Grady,9/12/2023
GAAA-EX7G-1KGB,Green Green Farms LLC,Green Green Farms,Grower,VINITA,Mayes,8/30/2023
PAAA-GN1O-D0Y8,The Herbal Point LLC,The Herbal Point,Processor,ARDMORE,Carter,11/14/2023
GAAA-5BUP-EFO6,BioSelect MicroFarms LLC,BioSelect MicroFarms,Grower,BEGGS,Okmulgee,6/29/2023
GAAA-NLEJ-RIGT,Midland Cannabis LLC,Midland Cannabis LLC,Grower,WELLSTON,Lincoln,10/12/2023
GAAA-X6UK-EJEK,Rolling Hills Hideaway L.L.C,Rolling Hills Hideaway L.L.C.,Grower,HENDRIX,Bryan,12/14/2022
DAAA-HKSQ-W1ZQ,Elevate RX LLC,Elevate RX LLC,Dispensary,PONCA CITY,Kay,11/15/2023
DAAA-PW5Z-CHE2,Jim Bud’z 2 LLC,Jim Bud’z 2,Dispensary,TULSA,Tulsa,8/23/2023
DAAA-AUPN-DPWU,"Green Supreme Flower, LLC","Green Supreme Flower, LLC",Dispensary,Moore,Cleveland,3/31/2024
DAAA-VYJN-DF88,JUDE'S FARM LLC,GREEN BLOC ALTUS,Dispensary,ALTUS,Jackson,4/17/2024
GAAA-VJMB-OANV,J&O ENT LLC,Bud Diamonds,Grower,Grove,Delaware,12/13/2023
PAAA-MRUC-ZMFT,DM AGRO LLC,DM AGRO LLC,Processor,STILWELL,Adair,4/25/2024
TAAA-XIWS-OINH,HONEY BEAR TRANSPORT LLC,HONEY BEAR TRANSPORT,Transporter,EDMOND,Oklahoma,11/21/2022
DAAA-ZMTG-BGIP,Nehemie Benoni Chery,Exhallent,Dispensary,OKLAHOMA CITY,Oklahoma,11/3/2023
DAAA-4JXY-HQPR,Hashtag 420 LLC,Hashtag 420 LLC,Dispensary,Krebs,Pittsburg,12/11/2022
GAAA-ZUZB-IZF0,BLOOMING GREEN LLC,BLOOMING GREEN FARM,Grower,WANETTE,Pottawatomie,8/3/2023
GAAA-BKOK-NNQB,High Quality Headquarters LLC,High Quality Headquarters LLC,Grower,Muskogee,Muskogee,9/18/2023
GAAA-STAT-WWJT,hoofprintsfarm,hoofprintsfarm,Grower,hobart,Kiowa,1/8/2023
DAAA-N1M0-D1ZL,Gravity Dispo INC,Gravity Dispo INC,Dispensary,TULSA,Tulsa,5/9/2024
GAAA-9JP9-UQNO,C4 Budz Farms LLC,C4 Budz Farms LLC,Grower,LAWTON,Comanche,12/14/2023
PAAA-YPPM-C9FS,Pharmicated LLC,Pharmicated,Processor,Oklahoma City,Oklahoma,8/17/2023
GAAA-QM7M-PGWN,Koob Ntsheej L.L.C.,Koob Ntsheej,Grower,Locust Grove,Cherokee,11/2/2023
DAAA-N1MM-RFVO,"BH Property Management, INC","BH Property Management, INC",Dispensary,Eufaula,McIntosh,12/23/2023
DAAA-EJ4M-F4VY,D-LUXE DISPENSARY LLC,D-LUXE DISPENSARY LLC,Dispensary,OKLAHOMA CITY,Oklahoma,9/22/2023
PAAA-KOSA-9AAL,Purple Crown LLC,Purple Crown LLC,Processor,OKLAHOMA CITY,Oklahoma,1/8/2024
DAAA-OR5T-KNKP,Bongo Dispensary LLC,Bongo Dispensary LLC,Dispensary,DEL CITY,Oklahoma,10/18/2023
GAAA-NBGK-NNTZ,"White Barn Ranch, LLC",White Barn Cannabis,Grower,SPERRY,Tulsa,2/24/2024
GAAA-LXD9-ANOA,COPACETIC CULTIVATION CO,FROSTY FARMS,Grower,Kiefer,Creek,12/27/2023
DAAA-41ER-OCAY,Mother Road Medicines LLC,Mother Road Medicines,Dispensary,CHELSEA,Rogers,10/10/2023
DAAA-4QQQ-NG3W,RUBY L HOLLEY,KINGZ AND QUEENZ 420,Dispensary,OKLAHOMA CITY,Oklahoma,1/9/2024
PAAA-QR5U-KPYT,Reds Health and Wellness LLC,Red's Health and Wellness LLC,Processor,Edmond,Logan,11/28/2023
DAAA-N1F0-GZ3Q,Herbal Meds LLc,Herbal Meds,Dispensary,TULSA,Tulsa,12/9/2023
GAAA-NKYO-TGN1,high top harvest,high top harvest,Grower,CHOUTEAU,Mayes,2/14/2024
GAAA-YZMF-PQKM,"Grow Pharmaceutical, LLC","Grow Pharmaceutical, LLC",Grower,SHAWNEE,Pottawatomie,12/14/2023
GAAA-3O74-V8AB,"Freedom Road OK, LLC",HWY LINES,Grower,OKLAHOMA CITY,Oklahoma,8/15/2023
